GENE,n
MYSM1,24
NDRG1,24
NDUFS4,24
NHEJ1,24
NRL,24
OSTM1,24
PDE3B,24
PIGB,24
POMK,24
POP1,24
PRMT7,24
PSAT1,24
RASGRP1,24
RDH5,24
RNASEH2A,24
RSPH3,24
SBDS,24
SCAF4,24
SCARB2,24
SPR,24
STAG2,24
STAT5B,24
STUB1,24
TANC2,24
TNNT1,24
TUBB2B,24
TYK2,24
YARS2,24
YWHAG,24
ZEB1,24
ABHD5,23
ACAD8,23
AGPAT2,23
ANKS6,23
ARCN1,23
ARL13B,23
ATP8A2,23
B3GALT6,23
B3GAT3,23
BICRA,23
C19orf12,23
CABP4,23
CEP120,23
CSRP3,23
CUX1,23
DDHD2,23
DLG3,23
DPYS,23
DRC1,23
DSPP,23
FAM83H,23
GANAB,23
GH1,23
ITPA,23
LCAT,23
LHX3,23
MSL3,23
NONO,23
NT5C2,23
OPLAH,23
POLG2,23
RAB3GAP2,23
RFX6,23
SLC1A4,23
SLC25A46,23
SLC5A5,23
STRA6,23
TPRN,23
WDR73,23
XDH,23
YY1,23
ZMYND10,23
ADAM9,22
ANO6,22
BMP2,22
C8A,22
CARD11,22
CAST,22
CNNM2,22
COCH,22
DPYD,22
EDNRB,22
EIF2B4,22
ERLIN2,22
FOXE3,22
FREM1,22
GJA8,22
GYS2,22
HPGD,22
HYDIN,22
IMPDH1,22
LSS,22
MECR,22
MEGF8,22
MEIS2,22
PDGFRB,22
PDHB,22
PDHX,22
PEX3,22
PKD1L1,22
PLOD2,22
POMGNT2,22
POU3F3,22
POU4F3,22
RFXANK,22
RRM2B,22
SAR1B,22
SBF1,22
SCNN1A,22
SHANK2,22
SKI,22
SNX14,22
STIM1,22
SUCLG1,22
TMC8,22
TOP3A,22
TUBB4A,22
UPF3B,22
WASHC5,22
ABCD4,21
ADAMTS10,21
ADCY10,21
AICDA,21
AMH,21
ARHGEF18,21
ARSL,21
AUH,21
BLTP1,21
CDT1,21
COL13A1,21
DDX11,21
FAT1,21
GNB5,21
HCN1,21
KARS1,21
KCNMA1,21
KCNQ5,21
KLHL3,21
MC2R,21
NARS2,21
NNT,21
NR2F2,21
ORC1,21
PPARG,21
PQBP1,21
PRNP,21
PSMD12,21
RBM10,21
RCBTB1,21
RSPH1,21
SCYL1,21
SMARCD2,21
SPI1,21
TBX3,21
TCAP,21
USP53,21
VARS2,21
ACTL6B,20
ADSS1,20
ALG3,20
ARPC1B,20
ASCC1,20
BCL10,20
CBL,20
CD36,20
CD63,20
CFAP418,20
CIB2,20
COASY,20
CRLF1,20
CTNND1,20
DNAJC12,20
DPAGT1,20
DRAM2,20
EARS2,20
ELOVL4,20
FAM20C,20
FLAD1,20
FNIP1,20
GARS1,20
GDF1,20
GOSR2,20
GPI,20
GPSM2,20
IGSF1,20
KCNJ10,20
LIAS,20
LMF1,20
MMP2,20
MPLKIP,20
NAA10,20
NDUFS1,20
NEK8,20
NFIB,20
ODAD1,20
PNPLA8,20
PRKCG,20
PRPS1,20
PTH1R,20
PUS7,20
RAB23,20
RARS1,20
RETREG1,20
RFXAP,20
RORA,20
SAG,20
SGPL1,20
SLC52A3,20
SLC5A1,20
SMAD2,20
STAG1,20
TNFRSF11A,20
USB1,20
USP7,20
VIPAS39,20
ABAT,19
ACADSB,19
ALB,19
ANKRD17,19
ANTXR2,19
APP,19
BLOC1S6,19
CD55,19
CDK10,19
CHD4,19
CNOT1,19
COG4,19
DYNC2I1,19
EPS8L2,19
FASTKD2,19
GNAT1,19
HMOX1,19
HPDL,19
IL10RA,19
IPO8,19
KCTD7,19
KRT6A,19
LRP4,19
MT-ATP6,19
MYEF2,19
NCF4,19
NDUFS6,19
NEMF,19
ODAD3,19
PHF8,19
PLOD3,19
PLPBP,19
POLK,19
POMGNT1,19
PPP2CA,19
PPP2R5D,19
PTPRC,19
PXDN,19
REEP6,19
RGS9,19
ROBO1,19
SIX3,19
SLC9A3,19
SUZ12,19
TAP2,19
TIMM8A,19
TPK1,19
TPM2,19
VCAN,19
XYLT1,19
AK2,18
AP1S2,18
BICD2,18
CARD9,18
COG7,18
CSF2RA,18
CTSF,18
DKC1,18
DOCK2,18
EPB41,18
F10,18
FERMT3,18
FOLR1,18
GATM,18
GLRB,18
GRIA3,18
HADH,18
HINT1,18
HSD3B7,18
IKBKB,18
ITSN1,18
KATNIP,18
KCNH1,18
KIF1C,18
LRRK1,18
MECOM,18
MMP13,18
NDUFAF6,18
ORC4,18
PIGT,18
PIK3C2A,18
POGLUT1,18
PRMT9,18
PRUNE1,18
PSMB8,18
PYROXD1,18
RIPK1,18
RNF14,18
RNF216,18
ROBO3,18
SCP2,18
SPART,18
STRADA,18
STX11,18
TNFRSF1A,18
ZNF341,18
AAGAB,17
